model,language,lr,batch_size,dropout,epochs,weight_decay,warmup_steps,grad_clip
xlm-roberta-base,xhosa,3e-05,16,0.1,2,0.01,0,1.0
xlm-roberta-base,xhosa,3e-05,16,0.1,2,0.01,0,1.0
